ts,symbol,interval,open,high,low,close,volume,source
2026-03-06 00:47:00+00:00,BTC-USD,1m,70988.65,70990.42,70947.24,70963.34,3.3675,binance
2026-03-06 00:48:00+00:00,BTC-USD,1m,70963.34,71007.83,70963.34,70976.41,7.44742,binance
2026-03-06 00:49:00+00:00,BTC-USD,1m,70976.41,70976.41,70930.35,70930.36,2.67795,binance
2026-03-06 00:50:00+00:00,BTC-USD,1m,70930.36,70936.56,70900.32,70900.33,4.11977,binance
2026-03-06 00:51:00+00:00,BTC-USD,1m,70900.33,70900.33,70784.0,70868.15,19.34888,binance
2026-03-06 00:52:00+00:00,BTC-USD,1m,70868.15,70939.88,70868.14,70928.27,4.27599,binance
2026-03-06 00:53:00+00:00,BTC-USD,1m,70928.27,70933.36,70898.46,70928.41,5.2081,binance
2026-03-06 00:54:00+00:00,BTC-USD,1m,70928.41,70960.78,70928.4,70960.77,2.91651,binance
2026-03-06 00:55:00+00:00,BTC-USD,1m,70960.78,70960.78,70936.4,70951.02,3.35131,binance
2026-03-06 00:56:00+00:00,BTC-USD,1m,70951.02,70955.38,70929.76,70929.76,3.18546,binance
2026-03-06 00:57:00+00:00,BTC-USD,1m,70929.77,70929.77,70904.91,70919.97,3.45342,binance
2026-03-06 00:58:00+00:00,BTC-USD,1m,70919.97,70932.73,70919.96,70932.72,2.13711,binance
2026-03-06 00:59:00+00:00,BTC-USD,1m,70932.72,70988.19,70923.43,70988.19,7.52287,binance
2026-03-06 01:00:00+00:00,BTC-USD,1m,70988.19,70991.74,70923.6,70943.48,5.82119,binance
2026-03-06 01:01:00+00:00,BTC-USD,1m,70943.48,70943.49,70900.0,70920.37,7.44083,binance
2026-03-06 01:02:00+00:00,BTC-USD,1m,70920.37,70999.48,70920.36,70999.48,5.57025,binance
2026-03-06 01:03:00+00:00,BTC-USD,1m,70999.49,71020.0,70982.11,70989.63,7.7737,binance
2026-03-06 01:04:00+00:00,BTC-USD,1m,70989.63,70989.63,70900.0,70912.18,6.4269,binance
2026-03-06 01:05:00+00:00,BTC-USD,1m,70912.17,70971.22,70912.17,70948.76,3.6724,binance
2026-03-06 01:06:00+00:00,BTC-USD,1m,70948.76,70948.77,70900.0,70912.96,5.35245,binance
2026-03-06 01:07:00+00:00,BTC-USD,1m,70912.95,70922.16,70904.17,70919.94,6.25641,binance
2026-03-06 01:08:00+00:00,BTC-USD,1m,70919.95,70941.68,70900.73,70905.51,17.18222,binance
2026-03-06 01:09:00+00:00,BTC-USD,1m,70905.52,70959.99,70888.06,70905.01,138.77359,binance
2026-03-06 01:10:00+00:00,BTC-USD,1m,70905.01,70936.59,70875.74,70875.74,19.19973,binance
2026-03-06 01:11:00+00:00,BTC-USD,1m,70875.74,70909.86,70830.93,70881.38,15.29183,binance
2026-03-06 01:12:00+00:00,BTC-USD,1m,70881.38,70899.32,70832.92,70832.94,9.39121,binance
2026-03-06 01:13:00+00:00,BTC-USD,1m,70832.94,70856.46,70783.57,70815.96,22.67866,binance
2026-03-06 01:14:00+00:00,BTC-USD,1m,70815.96,70815.97,70768.61,70800.0,22.74158,binance
2026-03-06 01:15:00+00:00,BTC-USD,1m,70799.99,70835.93,70751.13,70835.93,7.24343,binance
2026-03-06 01:16:00+00:00,BTC-USD,1m,70835.93,70878.76,70833.42,70836.73,4.94517,binance
2026-03-06 01:17:00+00:00,BTC-USD,1m,70836.73,70859.41,70815.34,70859.41,4.90537,binance
2026-03-06 01:18:00+00:00,BTC-USD,1m,70859.41,70887.41,70856.19,70856.2,2.70024,binance
2026-03-06 01:19:00+00:00,BTC-USD,1m,70856.2,70899.31,70856.2,70861.07,14.39321,binance
2026-03-06 01:20:00+00:00,BTC-USD,1m,70861.07,70881.43,70856.94,70881.43,4.07332,binance
