symbol,mean_ret,vol,skew,kurt,p01,p99,tail_1pct,corr_to_mkt,beta_to_mkt,pc1_loading,pc1_abs_loading,mom_7d,mom_30d
TRX-USD,8.019111809474711e-06,0.0021204853395792225,-0.8032870723737089,5.520288867159964,-0.006707087444452831,0.005187379300419425,0.011894466744872257,0.3748314446502307,0.12077453890653107,0.06130556870338637,0.06130556870338637,0.0,0.015489913544663114
TUT-USD,-4.981077777548688e-05,0.00959261129355741,0.42530554504177454,34.466971623500555,-0.02394230895271121,0.025632799010543553,0.04957510796325476,0.6368419851518754,0.9282664008171032,0.1007474701572522,0.1007474701572522,0.0,-0.06481481481481521
UNI-USD,-0.00010878883938820241,0.009281057464547661,2.744776495350189,59.013444407255626,-0.02512796778640924,0.025439893617572668,0.05056786140398191,0.7267353497678055,1.024891389312446,0.11782754935040612,0.11782754935040612,0.0,0.1824387216878658
VIRTUAL-USD,8.490680907412019e-05,0.011949087374945455,0.9558664579873682,8.15612704247498,-0.03183900486668292,0.03537691099603889,0.0672159158627218,0.7910341846260829,1.4362633747311555,0.12729739572924575,0.12729739572924575,0.0,0.2314653672119733
WIF-USD,-0.00022801164078213945,0.010141183472784239,-0.14831755164487115,9.140359455442995,-0.026687420404697914,0.02882601691502224,0.05551343731972015,0.8006289625386693,1.233741102535011,0.12899870329788538,0.12899870329788538,0.0,-0.08018867924528295
WLD-USD,-6.707657795398497e-05,0.010219429256055335,4.531553297058414,91.66693565879265,-0.025953026216347007,0.026161357193226632,0.05211438340957364,0.7336125810782381,1.1391935290808741,0.11815855633957655,0.11815855633957655,0.0,0.05496828752642613
WLFI-USD,-2.4695841235519233e-05,0.009935689909372436,-0.0400561075201895,17.147819763929586,-0.02858742256448119,0.02995560427695911,0.0585430268414403,0.5722661442642548,0.8639730175721516,0.09090828834087297,0.09090828834087297,0.0,0.059210526315789824
XLM-USD,-0.00012884895499150836,0.006856173161557702,-0.11916428221180667,5.669383654804141,-0.020096628289473673,0.020150951613299706,0.040247579902773375,0.8694115967343484,0.9057561752339166,0.14155696434418902,0.14155696434418902,0.0,0.016624040920716343
XPL-USD,-3.458522022179799e-05,0.012250492916090356,0.0225857155174086,4.386889421291924,-0.03329581397103674,0.03673199076653663,0.07002780473757336,0.7267053840456482,1.352745314901754,0.11542603576133968,0.11542603576133968,0.0,0.13758389261745196
XRP-USD,-0.0001262740923719066,0.007075978602917223,0.38222353567797396,9.401502340449644,-0.020237717639993668,0.021838856758535953,0.04207657439852962,0.8231910703554466,0.8850977950522658,0.13449858952313914,0.13449858952313914,0.0,0.00842676046017532
